"game","superid","round","showScore","initScore","payoff","cumulativePayoff","cPayoffS","WealthLevel","coop","local_rate_coop","degree","happ","harm"
101,10100,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
101,10101,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
101,10103,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
101,10104,0,0,200,NA,NA,NA,NA,NA,NA,7,NA,NA
101,10105,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
101,10106,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
101,10108,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
101,10109,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
101,10110,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
101,10114,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
102,10201,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
102,10202,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
102,10203,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
102,10204,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
102,10205,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
102,10206,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
102,10208,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
102,10209,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
102,10211,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
102,10213,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,10301,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
103,10302,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
103,10303,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
103,10304,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
103,10306,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
103,10307,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,10308,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
103,10309,0,0,200,NA,NA,NA,NA,NA,NA,9,NA,NA
103,10310,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
103,10311,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
103,10312,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
103,10313,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
103,10314,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
103,10315,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
104,10401,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
104,10402,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
104,10403,0,0,200,NA,NA,NA,NA,NA,NA,8,NA,NA
104,10404,0,0,200,NA,NA,NA,NA,NA,NA,7,NA,NA
