superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_rate,country3,yindex,rank,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
10100,0,101,0,200,NA,200,-0.474341649025257,Middle,NA,NA,5,-2,NA,male,-2,2,-2,450,5,10,NA,NA,US,0.474341649025257,0.388888888888889,0,10,0,0.225,0.02,4e-04,NA,4
10100,1,101,0,200,150,350,-0.524869532131281,Poorer,1,NA,5,1,NA,male,-2,2,-2,450,5,10,5,0.8,US,0.592160497789138,0.333333333333333,0,10,0,0.27548802575971,0.035,0.001225,0.015,4
10100,2,101,0,200,250,600,-0.416366899583951,Middle,1,0.8,5,2,NA,male,-2,2,-2,450,5,10,5,1,US,0.577541183293868,0.444444444444444,2,10,0.222222222222222,0.173361395069152,0.06,0.0036,0.025,4
10100,3,101,0,200,150,750,-0.524556227366323,Poorer,1,1,7,1,NA,male,-2,2,-2,450,5,10,5,0.8,US,0.655695284207904,0.388888888888889,3,10,0.333333333333333,0.27515923566879,0.075,0.005625,0.015,4
10100,4,101,0,200,150,900,-0.612302776981371,Poorer,1,0.857142857142857,6,0,NA,male,-2,2,-2,450,5,10,7,0.714285714285714,US,0.709916263166807,0.333333333333333,3,10,0.333333333333333,0.374914690699099,0.09,0.0081,0.015,4
10100,5,101,0,200,300,1200,-0.702268261531452,Poorer,1,0.833333333333333,8,2,NA,male,-2,2,-2,450,5,10,6,1,US,0.786540452915226,0.277777777777778,2,10,0.222222222222222,0.493180711154408,0.12,0.0144,0.03,4
10100,6,101,0,200,300,1500,-0.64669592033884,Poorer,1,1,8,2,NA,male,-2,2,-2,450,5,10,8,0.875,US,0.724299430779501,0.333333333333333,0,10,0,0.418215613382899,0.15,0.0225,0.03,4
10100,7,101,0,200,400,1900,-0.568049282756641,Poorer,1,0.875,8,2,NA,male,-2,2,-2,450,5,10,8,1,US,0.673956776151946,0.333333333333333,0,10,0,0.322679987640334,0.19,0.0361,0.04,4
10100,8,101,0,200,300,2200,-0.581444554214609,Poorer,1,1,8,1,NA,male,-2,2,-2,450,5,10,8,0.875,US,0.681380336970245,0.333333333333333,2,10,0.222222222222222,0.338077769625825,0.22,0.0484,0.03,4
10100,9,101,0,200,400,2600,-0.519508358541821,Poorer,1,0.875,8,2,NA,male,-2,2,-2,450,5,10,8,1,US,0.634954660440003,0.333333333333333,1,10,0.111111111111111,0.269888934594817,0.26,0.0676,0.04,4
10100,10,101,0,200,200,2800,-0.486720402926444,Middle,1,1,8,0,NA,male,-2,2,-2,450,5,10,8,0.75,US,0.559070733091185,0.388888888888889,0,10,0,0.23689675062488,0.28,0.0784,0.02,4
10100,11,101,0,200,100,2900,-0.553185211462144,Poorer,1,0.75,9,-1,NA,male,-2,2,-2,450,5,10,8,0.625,US,0.600601086730327,0.333333333333333,3,10,0.333333333333333,0.306013878180417,0.29,0.0841,0.01,4
10100,12,101,0,200,150,3050,-0.641156050490893,Poorer,1,0.666666666666667,8,-1,NA,male,-2,2,-2,450,5,10,9,0.666666666666667,US,0.670747868205858,0.111111111111111,2,10,0.222222222222222,0.41108108108108,0.305,0.093025,0.015,4
10100,13,101,0,200,100,3150,-0.672266270174927,Poorer,1,0.75,8,-1,NA,male,-2,2,-2,450,5,10,8,0.625,US,0.697476255306487,0.166666666666667,1,10,0.111111111111111,0.451941938014908,0.315,0.099225,0.01,4
10100,14,101,0,200,200,3350,-0.674800724771515,Poorer,1,0.625,7,1,NA,male,-2,2,-2,450,5,10,8,0.75,US,0.701487759084513,0.222222222222222,1,10,0.111111111111111,0.455356018152162,0.335,0.112225,0.02,4
10100,15,101,0,200,150,3500,-0.72437916429699,Poorer,1,0.857142857142857,8,-1,NA,male,-2,2,-2,450,5,10,7,0.714285714285714,US,0.738652645366881,0.111111111111111,1,10,0.111111111111111,0.524725173667606,0.35,0.1225,0.015,4
