superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_harm_rate,country3,yindex,rank,post_coop_local_coop_rate,post_coop_local_harm_rate,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
20102,0,201,0,200,NA,200,-0.316227766016838,Middle,NA,NA,7,0,NA,male,2,2,0,450,7,10,NA,NA,Other,0.316227766016838,0.444444444444444,NA,NA,0,10,0,0.1,0.02,4e-04,NA,4
20102,1,201,0,200,500,700,0.956647843919728,Richer,0,NA,7,2,0,male,2,2,0,450,7,10,7,0.714285714285714,Other,0.136663977702818,0.888888888888889,0.714285714285714,0,4,10,0.444444444444444,0.915175097276264,0.07,0.0049,0.05,4
20102,2,201,0,200,150,850,0.823171024889877,Richer,1,0.714285714285714,7,2,0,male,2,2,0,450,7,10,7,0.714285714285714,Other,0.117595860698554,0.888888888888889,0.714285714285714,0,1,10,0.111111111111111,0.677610536218251,0.085,0.007225,0.015,4
20102,3,201,0,200,250,1100,0.794430822633543,Richer,1,0.857142857142857,6,2,0,male,2,2,0,450,7,10,7,0.857142857142857,Other,0.137497642378882,0.777777777777778,0.857142857142857,0,2,10,0.222222222222222,0.631120331950208,0.11,0.0121,0.025,4
20102,4,201,0,200,100,1200,0.6590886209145,Richer,1,0.666666666666667,6,2,0,male,2,2,0,450,7,10,6,0.666666666666667,Other,0.11462410798513,0.722222222222222,0.666666666666667,0,5,10,0.555555555555556,0.434397810218978,0.12,0.0144,0.01,4
20102,5,201,0,200,300,1500,0.757524798984544,Richer,1,1,6,2,0,male,2,2,0,450,7,10,6,1,Other,0.0783646343777114,0.777777777777778,1,0,5,10,0.555555555555556,0.573843821076574,0.15,0.0225,0.03,4
20102,6,201,0,200,200,1700,0.579774793629631,Richer,1,0.833333333333333,6,2,0,male,2,2,0,450,7,10,6,0.833333333333333,Other,0.142208911645004,0.666666666666667,0.833333333333333,0,0,10,0,0.336138811328281,0.17,0.0289,0.02,4
20102,7,201,0,200,300,2000,0.554062323397665,Richer,1,1,6,2,0,male,2,2,0,450,7,10,6,1,Other,0.145327822530535,0.666666666666667,1,0,1,10,0.111111111111111,0.306985058208819,0.2,0.04,0.03,4
20102,8,201,0,200,200,2200,0.379968274847835,Middle,1,0.833333333333333,6,2,0,male,2,2,0,450,7,10,6,0.833333333333333,Other,0.219212466258366,0.666666666666667,0.833333333333333,0,2,10,0.222222222222222,0.14437588989084,0.22,0.0484,0.02,4
20102,9,201,0,200,300,2500,0.417976014963131,Middle,1,1,6,2,0,male,2,2,0,450,7,10,6,1,Other,0.185005777114828,0.666666666666667,1,0,0,10,0,0.17470394908446,0.25,0.0625,0.03,4
20102,10,201,0,200,200,2700,0.31953102624561,Middle,1,0.833333333333333,6,2,0,male,2,2,0,450,7,10,6,0.833333333333333,Other,0.211011055067856,0.722222222222222,0.833333333333333,0,2,10,0.222222222222222,0.102100076733573,0.27,0.0729,0.02,4
20102,11,201,0,200,300,3000,0.356533872326883,Middle,1,1,7,2,0,male,2,2,0,450,7,10,6,1,Other,0.201269121474853,0.777777777777778,1,0,2,10,0.222222222222222,0.127116402116402,0.3,0.09,0.03,4
20102,12,201,0,200,350,3350,0.421759639533653,Middle,1,1,8,2,0,male,2,2,0,450,7,10,7,1,Other,0.188681944001897,0.777777777777778,1,0,1,10,0.111111111111111,0.177881193539557,0.335,0.112225,0.035,4
20102,13,201,0,200,200,3550,0.403284490276306,Middle,1,0.75,7,1,0,male,2,2,0,450,7,10,8,0.75,Other,0.180575144899838,0.777777777777778,0.75,0,1,10,0.111111111111111,0.16263838009742,0.355,0.126025,0.02,4
20102,14,201,0,200,250,3800,0.436543582321343,Middle,1,0.857142857142857,6,2,0,male,2,2,0,450,7,10,7,0.857142857142857,Other,0.186258595123773,0.777777777777778,0.857142857142857,0,3,10,0.333333333333333,0.190570299265951,0.38,0.1444,0.025,4
20102,15,201,0,200,300,4100,0.517594581886354,Richer,1,1,7,2,0,male,2,2,0,450,7,10,6,1,Other,0.160207846774348,0.777777777777778,1,0,1,10,0.111111111111111,0.26790415119811,0.41,0.1681,0.03,4
20103,0,201,0,200,NA,200,-0.316227766016838,Middle,NA,NA,4,0,NA,female,11,1,0,450,4,10,NA,NA,US,0.316227766016838,0.444444444444444,NA,NA,0,10,0,0.1,0.02,4e-04,NA,121
20103,1,201,0,200,300,500,0.273327955405637,Middle,0,NA,3,2,0,female,11,1,0,450,4,10,4,0.75,US,0.273327955405637,0.777777777777778,0.75,0,0,10,0,0.0747081712062259,0.05,0.0025,0.03,121
20103,2,201,0,200,200,700,0.319188764753218,Middle,0,0.666666666666667,3,2,0,female,11,1,0,450,4,10,3,0.666666666666667,US,0.25199113006833,0.611111111111111,0.666666666666667,0,2,10,0.222222222222222,0.101881467544685,0.07,0.0049,0.02,121
20103,3,201,0,200,200,900,0.18333018983851,Middle,0,0.666666666666667,4,2,0,female,11,1,0,450,4,10,3,0.666666666666667,US,0.320827832217392,0.666666666666667,0.666666666666667,0,2,10,0.222222222222222,0.0336099585062241,0.09,0.0081,0.02,121
20103,4,201,0,200,300,1200,0.6590886209145,Richer,0,0.75,4,2,0,female,11,1,0,450,4,10,4,0.75,US,0.11462410798513,0.722222222222222,0.75,0,3,10,0.333333333333333,0.434397810218978,0.12,0.0144,0.03,121
20103,5,201,0,200,300,1500,0.757524798984544,Richer,0,0.75,4,2,0,female,11,1,0,450,4,10,4,0.75,US,0.0783646343777114,0.777777777777778,0.75,0,1,10,0.111111111111111,0.573843821076574,0.15,0.0225,0.03,121
20103,6,201,0,200,300,1800,0.798557734621944,Richer,0,0.75,5,2,0,female,11,1,0,450,4,10,4,0.75,US,0.0765740293473097,0.777777777777778,0.75,0,2,10,0.222222222222222,0.637694455524531,0.18,0.0324,0.03,121
20103,7,201,0,200,400,2200,0.917381879724002,Richer,0,0.8,3,2,0,female,11,1,0,450,4,10,5,0.8,US,0.0544979334489506,0.888888888888889,0.8,0,1,10,0.111111111111111,0.841589513245943,0.22,0.0484,0.04,121
20103,8,201,0,200,300,2500,0.818393207364568,Richer,0,1,1,2,0,female,11,1,0,450,4,10,3,1,US,0.0876849865033466,0.777777777777778,1,0,0,10,0,0.669767441860465,0.25,0.0625,0.03,121
20103,9,201,0,200,100,2600,0.555017331344485,Richer,0,1,1,2,0,female,11,1,0,450,4,10,1,1,US,0.143893382200422,0.777777777777778,1,0,3,10,0.333333333333333,0.308044238092754,0.26,0.0676,0.01,121
20103,10,201,0,200,100,2700,0.31953102624561,Middle,0,1,1,2,0,female,11,1,0,450,4,10,1,1,US,0.211011055067856,0.722222222222222,1,0,1,10,0.111111111111111,0.102100076733573,0.27,0.0729,0.01,121
20103,11,201,0,200,100,2800,0.126512019212765,Middle,0,1,1,2,0,female,11,1,0,450,4,10,1,1,US,0.276026223736942,0.555555555555556,1,0,2,10,0.222222222222222,0.016005291005291,0.28,0.0784,0.01,121
20103,12,201,0,200,50,2850,-0.133187254589574,Middle,1,1,4,2,0,female,11,1,0,450,4,10,1,1,US,0.427309108474885,0.333333333333333,1,0,3,10,0.333333333333333,0.017738844785108,0.285,0.081225,0.005,121
20103,13,201,0,200,300,3150,-0.0782492294565966,Middle,0,0.75,2,2,0,female,11,1,0,450,4,10,4,0.75,US,0.373188632792999,0.333333333333333,0.75,0,3,10,0.333333333333333,0.0061229419105511,0.315,0.099225,0.03,121
